OBJECTID,SSA_NAME,created_user,created_date,last_edited_user,last_edited_date
1,SHARED PLANT BORDER,,,,
2,PLANT #2 SEWER SERVICE AREA,,,,
3,PLANT #2 EFFLUENT DISPOSAL SIT,,,,
4,PLANT #2 EFFLUENT DISPOSAL SIT,,,,
5,PLANT #2 EFFLUENT DISPOSAL SIT,,,,
6,PLANT #2 EFFLUENT DISPOSAL SIT,,,,
7,PLANT #2 EFFLUENT DISPOSAL SIT,,,,
8,PLANT 3 EFFLUENT DISPOSAL SITE,,,,
9,PLANT #2 EFFLUENT DISPOSAL SIT,,,,
10,PLANT 3 EFFLUENT DISPOSAL SITE,,,,
11,PLANT #2 SEWER SERVICE AREA,,,,
12,PLANT #3 SEWER SERVICE AREA,,,,
