GEOID,NAME,overlap_frac,total_hh,hh_count,hh_count_weighted,total_hh_weighted,bracket_order,lower_bound,upper_bound,mhi,mhi_moe
06029003807,Census Tract 38.07; Kern County; California,0.9999999999999494,1084,40,39.999999999997975,1083.9999999999452,1,0,9999,98864,16637
06029003807,Census Tract 38.07; Kern County; California,0.9999999999999494,1084,9,8.999999999999545,1083.9999999999452,2,10000,14999,98864,16637
06029003807,Census Tract 38.07; Kern County; California,0.9999999999999494,1084,43,42.999999999997826,1083.9999999999452,3,15000,19999,98864,16637
06029003807,Census Tract 38.07; Kern County; California,0.9999999999999494,1084,14,13.999999999999291,1083.9999999999452,4,20000,24999,98864,16637
06029003807,Census Tract 38.07; Kern County; California,0.9999999999999494,1084,42,41.999999999997875,1083.9999999999452,5,25000,29999,98864,16637
06029003807,Census Tract 38.07; Kern County; California,0.9999999999999494,1084,45,44.99999999999772,1083.9999999999452,6,30000,34999,98864,16637
06029003807,Census Tract 38.07; Kern County; California,0.9999999999999494,1084,11,10.999999999999442,1083.9999999999452,7,35000,39999,98864,16637
06029003807,Census Tract 38.07; Kern County; California,0.9999999999999494,1084,83,82.9999999999958,1083.9999999999452,8,40000,44999,98864,16637
06029003807,Census Tract 38.07; Kern County; California,0.9999999999999494,1084,8,7.999999999999595,1083.9999999999452,9,45000,49999,98864,16637
06029003807,Census Tract 38.07; Kern County; California,0.9999999999999494,1084,55,54.999999999997215,1083.9999999999452,10,50000,59999,98864,16637
06029003807,Census Tract 38.07; Kern County; California,0.9999999999999494,1084,56,55.999999999997165,1083.9999999999452,11,60000,74999,98864,16637
06029003807,Census Tract 38.07; Kern County; California,0.9999999999999494,1084,146,145.9999999999926,1083.9999999999452,12,75000,99999,98864,16637
06029003807,Census Tract 38.07; Kern County; California,0.9999999999999494,1084,140,139.99999999999292,1083.9999999999452,13,100000,124999,98864,16637
06029003807,Census Tract 38.07; Kern County; California,0.9999999999999494,1084,90,89.99999999999544,1083.9999999999452,14,125000,149999,98864,16637
06029003807,Census Tract 38.07; Kern County; California,0.9999999999999494,1084,161,160.99999999999184,1083.9999999999452,15,150000,199999,98864,16637
06029003807,Census Tract 38.07; Kern County; California,0.9999999999999494,1084,141,140.99999999999287,1083.9999999999452,16,200000,NA,98864,16637
06029000800,Census Tract 8; Kern County; California,0.9998641524953948,1559,80,79.98913219963158,1558.7882137403205,1,0,9999,73179,32118
06029000800,Census Tract 8; Kern County; California,0.9998641524953948,1559,86,85.98831711460396,1558.7882137403205,2,10000,14999,73179,32118
06029000800,Census Tract 8; Kern County; California,0.9998641524953948,1559,18,17.997554744917107,1558.7882137403205,3,15000,19999,73179,32118
06029000800,Census Tract 8; Kern County; California,0.9998641524953948,1559,118,117.98396999445659,1558.7882137403205,4,20000,24999,73179,32118
06029000800,Census Tract 8; Kern County; California,0.9998641524953948,1559,85,84.98845296210857,1558.7882137403205,5,25000,29999,73179,32118
06029000800,Census Tract 8; Kern County; California,0.9998641524953948,1559,39,38.9947019473204,1558.7882137403205,6,30000,34999,73179,32118
06029000800,Census Tract 8; Kern County; California,0.9998641524953948,1559,38,37.994837794825,1558.7882137403205,7,35000,39999,73179,32118
06029000800,Census Tract 8; Kern County; California,0.9998641524953948,1559,11,10.998505677449343,1558.7882137403205,8,40000,44999,73179,32118
06029000800,Census Tract 8; Kern County; California,0.9998641524953948,1559,0,0,1558.7882137403205,9,45000,49999,73179,32118
06029000800,Census Tract 8; Kern County; California,0.9998641524953948,1559,251,250.9659022763441,1558.7882137403205,10,50000,59999,73179,32118
06029000800,Census Tract 8; Kern County; California,0.9998641524953948,1559,79,78.98926804713619,1558.7882137403205,11,60000,74999,73179,32118
06029000800,Census Tract 8; Kern County; California,0.9998641524953948,1559,241,240.96726075139017,1558.7882137403205,12,75000,99999,73179,32118
06029000800,Census Tract 8; Kern County; California,0.9998641524953948,1559,321,320.95639295102177,1558.7882137403205,13,100000,124999,73179,32118
06029000800,Census Tract 8; Kern County; California,0.9998641524953948,1559,64,63.99130575970527,1558.7882137403205,14,125000,149999,73179,32118
06029000800,Census Tract 8; Kern County; California,0.9998641524953948,1559,72,71.99021897966843,1558.7882137403205,15,150000,199999,73179,32118
06029000800,Census Tract 8; Kern County; California,0.9998641524953948,1559,56,55.99239253974211,1558.7882137403205,16,200000,NA,73179,32118
06029001101,Census Tract 11.01; Kern County; California,1.000000000000283,1656,85,85.00000000002406,1656.0000000004688,1,0,9999,29136,5099
06029001101,Census Tract 11.01; Kern County; California,1.000000000000283,1656,162,162.00000000004587,1656.0000000004688,2,10000,14999,29136,5099
06029001101,Census Tract 11.01; Kern County; California,1.000000000000283,1656,76,76.00000000002152,1656.0000000004688,3,15000,19999,29136,5099
06029001101,Census Tract 11.01; Kern County; California,1.000000000000283,1656,348,348.0000000000985,1656.0000000004688,4,20000,24999,29136,5099
06029001101,Census Tract 11.01; Kern County; California,1.000000000000283,1656,176,176.00000000004982,1656.0000000004688,5,25000,29999,29136,5099
06029001101,Census Tract 11.01; Kern County; California,1.000000000000283,1656,215,215.00000000006088,1656.0000000004688,6,30000,34999,29136,5099
06029001101,Census Tract 11.01; Kern County; California,1.000000000000283,1656,53,53.00000000001501,1656.0000000004688,7,35000,39999,29136,5099
06029001101,Census Tract 11.01; Kern County; California,1.000000000000283,1656,20,20.000000000005663,1656.0000000004688,8,40000,44999,29136,5099
06029001101,Census Tract 11.01; Kern County; California,1.000000000000283,1656,72,72.00000000002038,1656.0000000004688,9,45000,49999,29136,5099
06029001101,Census Tract 11.01; Kern County; California,1.000000000000283,1656,70,70.00000000001982,1656.0000000004688,10,50000,59999,29136,5099
06029001101,Census Tract 11.01; Kern County; California,1.000000000000283,1656,111,111.00000000003142,1656.0000000004688,11,60000,74999,29136,5099
06029001101,Census Tract 11.01; Kern County; California,1.000000000000283,1656,57,57.000000000016136,1656.0000000004688,12,75000,99999,29136,5099
06029001101,Census Tract 11.01; Kern County; California,1.000000000000283,1656,57,57.000000000016136,1656.0000000004688,13,100000,124999,29136,5099
06029001101,Census Tract 11.01; Kern County; California,1.000000000000283,1656,35,35.00000000000991,1656.0000000004688,14,125000,149999,29136,5099
06029001101,Census Tract 11.01; Kern County; California,1.000000000000283,1656,64,64.00000000001812,1656.0000000004688,15,150000,199999,29136,5099
06029001101,Census Tract 11.01; Kern County; California,1.000000000000283,1656,55,55.00000000001557,1656.0000000004688,16,200000,NA,29136,5099
06029002811,Census Tract 28.11; Kern County; California,1.0000000000002098,1420,41,41.000000000008605,1420.0000000002979,1,0,9999,172083,28576
06029002811,Census Tract 28.11; Kern County; California,1.0000000000002098,1420,23,23.000000000004825,1420.0000000002979,2,10000,14999,172083,28576
06029002811,Census Tract 28.11; Kern County; California,1.0000000000002098,1420,48,48.000000000010075,1420.0000000002979,3,15000,19999,172083,28576
06029002811,Census Tract 28.11; Kern County; California,1.0000000000002098,1420,0,0,1420.0000000002979,4,20000,24999,172083,28576
06029002811,Census Tract 28.11; Kern County; California,1.0000000000002098,1420,13,13.000000000002728,1420.0000000002979,5,25000,29999,172083,28576
06029002811,Census Tract 28.11; Kern County; California,1.0000000000002098,1420,7,7.000000000001469,1420.0000000002979,6,30000,34999,172083,28576
06029002811,Census Tract 28.11; Kern County; California,1.0000000000002098,1420,0,0,1420.0000000002979,7,35000,39999,172083,28576
06029002811,Census Tract 28.11; Kern County; California,1.0000000000002098,1420,14,14.000000000002938,1420.0000000002979,8,40000,44999,172083,28576
06029002811,Census Tract 28.11; Kern County; California,1.0000000000002098,1420,42,42.00000000000881,1420.0000000002979,9,45000,49999,172083,28576
06029002811,Census Tract 28.11; Kern County; California,1.0000000000002098,1420,42,42.00000000000881,1420.0000000002979,10,50000,59999,172083,28576
06029002811,Census Tract 28.11; Kern County; California,1.0000000000002098,1420,59,59.00000000001238,1420.0000000002979,11,60000,74999,172083,28576
06029002811,Census Tract 28.11; Kern County; California,1.0000000000002098,1420,165,165.00000000003462,1420.0000000002979,12,75000,99999,172083,28576
06029002811,Census Tract 28.11; Kern County; California,1.0000000000002098,1420,88,88.00000000001846,1420.0000000002979,13,100000,124999,172083,28576
06029002811,Census Tract 28.11; Kern County; California,1.0000000000002098,1420,101,101.00000000002119,1420.0000000002979,14,125000,149999,172083,28576
06029002811,Census Tract 28.11; Kern County; California,1.0000000000002098,1420,207,207.00000000004343,1420.0000000002979,15,150000,199999,172083,28576
06029002811,Census Tract 28.11; Kern County; California,1.0000000000002098,1420,570,570.0000000001196,1420.0000000002979,16,200000,NA,172083,28576
06029002820,Census Tract 28.20; Kern County; California,0.9999999999999174,2029,11,10.99999999999909,2028.9999999998324,1,0,9999,117772,24205
06029002820,Census Tract 28.20; Kern County; California,0.9999999999999174,2029,55,54.99999999999546,2028.9999999998324,2,10000,14999,117772,24205
06029002820,Census Tract 28.20; Kern County; California,0.9999999999999174,2029,79,78.99999999999348,2028.9999999998324,3,15000,19999,117772,24205
06029002820,Census Tract 28.20; Kern County; California,0.9999999999999174,2029,0,0,2028.9999999998324,4,20000,24999,117772,24205
06029002820,Census Tract 28.20; Kern County; California,0.9999999999999174,2029,11,10.99999999999909,2028.9999999998324,5,25000,29999,117772,24205
06029002820,Census Tract 28.20; Kern County; California,0.9999999999999174,2029,43,42.99999999999645,2028.9999999998324,6,30000,34999,117772,24205
06029002820,Census Tract 28.20; Kern County; California,0.9999999999999174,2029,0,0,2028.9999999998324,7,35000,39999,117772,24205
06029002820,Census Tract 28.20; Kern County; California,0.9999999999999174,2029,0,0,2028.9999999998324,8,40000,44999,117772,24205
06029002820,Census Tract 28.20; Kern County; California,0.9999999999999174,2029,14,13.999999999998844,2028.9999999998324,9,45000,49999,117772,24205
06029002820,Census Tract 28.20; Kern County; California,0.9999999999999174,2029,89,88.99999999999265,2028.9999999998324,10,50000,59999,117772,24205
06029002820,Census Tract 28.20; Kern County; California,0.9999999999999174,2029,170,169.99999999998596,2028.9999999998324,11,60000,74999,117772,24205
06029002820,Census Tract 28.20; Kern County; California,0.9999999999999174,2029,366,365.99999999996976,2028.9999999998324,12,75000,99999,117772,24205
06029002820,Census Tract 28.20; Kern County; California,0.9999999999999174,2029,295,294.9999999999756,2028.9999999998324,13,100000,124999,117772,24205
