growth_rate,growth_label,scenario,scenario_order,annual_rate,years_forward,growth_factor,threshold_nominal,threshold_base_yr,unaffordable_hh,pct_unaffordable
0,0% (no growth),Current,1,247.13,0,1,9885.199999999999,9885.199999999999,6218.260753687471,4.438784034074601
0,0% (no growth),FY 26/27,2,475,5,1,19000,19000,16433.512038790475,11.730741721999859
0,0% (no growth),FY 27/28,3,575,6,1,23000,23000,20311.455911717494,14.498936242948218
0,0% (no growth),FY 28/29,4,675,7,1,27000,27000,24798.55200026267,17.701962179964745
0,0% (no growth),FY 29/30,5,775,8,1,31000,31000,29548.761135140514,21.092806228102717
0,0% (no growth),FY 30/31,6,875,9,1,35000,35000,33731.8656626166,24.078833724362845
0.02,2% (inflation only),Current,1,247.13,0,1,9885.199999999999,9885.199999999999,6218.260753687471,4.438784034074601
0.02,2% (inflation only),FY 26/27,2,475,5,1.1040808032,19000,17208.8853867684,14907.401718574663,10.641357665598983
0.02,2% (inflation only),FY 27/28,3,575,6,1.126162419264,23000,20423.341790282415,17711.8217445696,12.643238147829248
0.02,2% (inflation only),FY 28/29,4,675,7,1.14868566764928,27000,23505.12482257567,20821.084911982194,14.862724954821532
0.02,2% (inflation only),FY 29/30,5,775,8,1.1716593810022657,31000,26458.201506893456,24129.357424257374,17.224270697197614
0.02,2% (inflation only),FY 30/31,6,875,9,1.195092568622311,35000,29286.43430554304,27622.608277881292,19.717859617039597
0.03,3% (moderate),Current,1,247.13,0,1,9885.199999999999,9885.199999999999,6218.260753687471,4.438784034074601
0.03,3% (moderate),FY 26/27,2,475,5,1.1592740743,19000,16389.566903299114,14209.305469496505,10.143035287783297
0.03,3% (moderate),FY 27/28,3,575,6,1.1940522965290001,23000,19262.137903724048,16656.865339153108,11.890178114727457
0.03,3% (moderate),FY 28/29,4,675,7,1.2298738654248702,27000,21953.470806270547,19255.59485933716,13.745230445273563
0.03,3% (moderate),FY 29/30,5,775,8,1.2667700813876164,31000,24471.686263732,21796.265142561977,15.55883832306133
0.03,3% (moderate),FY 30/31,6,875,9,1.304773183829245,35000,26824.585632026934,24581.891479617992,17.54730329736939
0.05,5% (optimistic),Current,1,247.13,0,1,9885.199999999999,9885.199999999999,6218.260753687471,4.438784034074601
0.05,5% (optimistic),FY 26/27,2,475,5,1.2762815625000004,19000,14886.997162900718,12874.423004128912,9.190155502044803
0.05,5% (optimistic),FY 27/28,3,575,6,1.3400956406250004,23000,17162.95412264243,14868.266212848004,10.613421548915243
0.05,5% (optimistic),FY 28/29,4,675,7,1.4071004226562505,27000,19188.395913513275,16594.03384223909,11.845327077373712
0.05,5% (optimistic),FY 29/30,5,775,8,1.477455443789063,31000,20982.020222889296,18275.48189024824,13.0455959379555
0.05,5% (optimistic),FY 30/31,6,875,9,1.5513282159785162,35000,22561.312067622897,19868.856216724198,14.18299509196681
